Accuracy,Sensitivity,Specificity,MCC,Distance,Averaging,Dataset,Number of Classes,Aggregation,Gamma,Cost,Tool,Indep. Accuracy,Indep. Sensitivity,Indep. Specificity,Indep. MCC
0.80424,0.59616,0.83888,0.36,0.2201143421,Micro,shuffled,7,unweighted average,value tbd,value tbd,SVMLight,0.9334,0.57,0.83056,0.33
0.7457942857,0.6243285714,0.7140228571,0.28,0.2184644834,Macro,balanced,7,balanced average,value tbd,value tbd,SVMLight,0.73548,0.6455571429,0.7174257143,0.33
0.74578,0.74486,0.74596,0.36,0.1013027719,Micro,balanced,7,balanced average,value tbd,value tbd,SVMLight,0.73548,0.73168,0.73612,0.34
0.6996542857,0.7119085714,0.6976085714,0.3,0.1715163923,Macro,down sampled,7,balanced average,value tbd,value tbd,SVMLight,0.71388,0.7828571429,0.70238,0.36
0.69968,0.71192,0.6976,0.29,0.1808749148,Micro,down sampled,7,balanced average,value tbd,value tbd,SVMLight,0.71388,0.78284,0.70238,0.35
0.7331485714,0.6334685714,0.6993657143,0.26,0.2321040043,Macro,shuffled,7,balanced average,value tbd,value tbd,SVMLight,0.7266657143,0.6557114286,0.70524,0.32
0.73314,0.74232,0.73162,0.35,0.1101633169,Micro,shuffled,7,balanced average,value tbd,value tbd,SVMLight,0.72668,0.73998,0.72444,0.34
0.8454285714,0.3359342857,0.8948085714,0.27,0.4927229703,Macro,balanced,7,maximum probability,value tbd,value tbd,SVMLight,0.8276142857,0.2996885714,0.8894142857,0.23
0.84542,0.45898,0.90982,0.36,0.3686257387,Micro,balanced,7,maximum probability,value tbd,value tbd,SVMLight,0.82762,0.39668,0.89946,0.29
0.8387657143,0.4357257143,0.9059514286,0.33,0.3923585396,Macro,down sampled,7,maximum probability,value tbd,value tbd,SVMLight,0.8489771429,0.4714285714,0.9119,0.39
0.83874,0.43574,0.90594,0.34,0.3891364295,Micro,down sampled,7,maximum probability,value tbd,value tbd,SVMLight,0.84898,0.47142,0.91188,0.38
0.84212,0.3347542857,0.8915257143,0.27,0.4919202119,Macro,shuffled,7,maximum probability,value tbd,value tbd,SVMLight,0.8238142857,0.2912657143,0.8865914286,0.22
0.84212,0.44744,0.90792,0.35,0.3786564147,Micro,shuffled,7,maximum probability,value tbd,value tbd,SVMLight,0.8238,0.38334,0.89724,0.28
0.8764142857,0.1811914286,0.9830142857,0.25,0.6677623518,Macro,balanced,7,unweighted average,list tbd,list tbd,SKlearn Probability,0.87148,0.15936,0.9803485714,0.23
0.87658,0.21686,0.98524,0.34,0.6150762909,Micro,balanced,7,unweighted average,list tbd,list tbd,SKlearn Probability,0.87152,0.1993,0.98304,0.31
0.8705657143,0.1781371429,0.9852942857,0.24,0.6732207381,Macro,down sampled,7,unweighted average,list tbd,list tbd,SKlearn Probability,0.8729028571,0.1557142857,0.9918942857,0.23
0.87054,0.17762,0.9853,0.29,0.6590222485,Micro,down sampled,7,unweighted average,list tbd,list tbd,SKlearn Probability,0.8729,0.15512,0.99192,0.3
0.8755085714,0.1798114286,0.98232,0.24,0.6716918407,Macro,shuffled,7,unweighted average,list tbd,list tbd,SKlearn Probability,0.8695342857,0.1575885714,0.9777028571,0.21
0.8756,0.21832,0.98456,0.34,0.6133179616,Micro,shuffled,7,unweighted average,list tbd,list tbd,SKlearn Probability,0.8696,0.20056,0.98082,0.3
0.7507257143,0.6202542857,0.7114171429,0.3,0.2052985197,Macro,balanced,7,balanced average,list tbd,list tbd,SKlearn Probability,0.7140457143,0.5715857143,0.6996714286,0.25
0.75072,0.76668,0.74808,0.38,0.08506955507,Micro,balanced,7,balanced average,list tbd,list tbd,SKlearn Probability,0.71404,0.675,0.72056,0.29
0.6727828571,0.7261914286,0.6638942857,0.29,0.1953291679,Macro,down sampled,7,balanced average,list tbd,list tbd,SKlearn Probability,0.68898,0.7685714286,0.6757171429,0.33
0.67282,0.7262,0.66386,0.27,0.2129624897,Micro,down sampled,7,balanced average,list tbd,list tbd,SKlearn Probability,0.68898,0.76858,0.67572,0.31
0.7441428571,0.6293942857,0.7051285714,0.28,0.2165457843,Macro,shuffled,7,balanced average,list tbd,list tbd,SKlearn Probability,0.7190457143,0.5704771429,0.7066914286,0.27
0.74416,0.76284,0.74102,0.37,0.09214383105,Micro,shuffled,7,balanced average,list tbd,list tbd,SKlearn Probability,0.71904,0.67166,0.72696,0.29
0.8549485714,0.3880028571,0.9011542857,0.32,0.4364440614,Macro,balanced,7,maximum probability,list tbd,list tbd,SKlearn Probability,0.8319057143,0.3246028571,0.8906657143,0.26
0.85494,0.4923,0.91538,0.4,0.3399826525,Micro,balanced,7,maximum probability,list tbd,list tbd,SKlearn Probability,0.83188,0.41168,0.90196,0.31
0.8401171429,0.4404685714,0.9067457143,0.32,0.3927750668,Macro,down sampled,7,maximum probability,list tbd,list tbd,SKlearn Probability,0.84408,0.4542857143,0.9090457143,0.35
0.8401,0.4405,0.90672,0.34,0.3860576646,Micro,down sampled,7,maximum probability,list tbd,list tbd,SKlearn Probability,0.8441,0.45428,0.90904,0.36
0.8512857143,0.3833371429,0.8994828571,0.31,0.441973722,Macro,shuffled,7,maximum probability,list tbd,list tbd,SKlearn Probability,0.83286,0.3271371429,0.8915542857,0.26
0.85128,0.4795,0.91324,0.39,0.3491892553,Micro,shuffled,7,maximum probability,list tbd,list tbd,SKlearn Probability,0.83286,0.415,0.90252,0.31
0.8748942857,0.1572657143,0.9846171429,0.21,0.7016524325,Macro,balanced,7,unweighted average,value tbd,value tbd,SKlearn Probability,0.8692257143,0.1399685714,0.9800742857,0.19
0.87512,0.19846,0.98672,0.33,0.6332417156,Micro,balanced,7,unweighted average,value tbd,value tbd,SKlearn Probability,0.86932,0.18326,0.98276,0.29
0.8677057143,0.1508571429,0.9872514286,0.22,0.7031509252,Macro,down sampled,7,unweighted average,value tbd,value tbd,SKlearn Probability,0.8713257143,0.1380942857,0.99332,0.2
0.8677,0.15038,0.98726,0.27,0.6881080933,Micro,down sampled,7,unweighted average,value tbd,value tbd,SKlearn Probability,0.87132,0.13752,0.99332,0.29
0.8736857143,0.15132,0.9834514286,0.2,0.7096057417,Macro,shuffled,7,unweighted average,value tbd,value tbd,SKlearn Probability,0.87038,0.1448742857,0.9802,0.2
0.8738,0.19978,0.98566,0.32,0.6335216571,Micro,shuffled,7,unweighted average,value tbd,value tbd,SKlearn Probability,0.8705,0.19096,0.9833,0.3
0.7459685714,0.6257942857,0.7043628571,0.28,0.2186737213,Macro,balanced,7,balanced average,value tbd,value tbd,SKlearn Probability,0.7140485714,0.5717342857,0.6993942857,0.26
0.74596,0.77308,0.74144,0.38,0.08523583519,Micro,balanced,7,balanced average,value tbd,value tbd,SKlearn Probability,0.71404,0.67834,0.72002,0.29
0.6765342857,0.7023771429,0.6722257143,0.28,0.2040793391,Macro,down sampled,7,balanced average,value tbd,value tbd,SKlearn Probability,0.6828542857,0.7285714286,0.6752342857,0.3
0.67656,0.7024,0.67222,0.27,0.2129411092,Micro,down sampled,7,balanced average,value tbd,value tbd,SKlearn Probability,0.68286,0.72856,0.67526,0.29
0.7355285714,0.6266714286,0.6930542857,0.26,0.2364207599,Macro,shuffled,7,balanced average,value tbd,value tbd,SKlearn Probability,0.7107228571,0.5874542857,0.6928285714,0.26
0.73554,0.76538,0.73056,0.37,0.09199241056,Micro,shuffled,7,balanced average,value tbd,value tbd,SKlearn Probability,0.7107,0.69336,0.71362,0.29
0.8527457143,0.3775657143,0.9000885714,0.3,0.4507812256,Macro,balanced,7,maximum probability,value tbd,value tbd,SKlearn Probability,0.82714,0.2963485714,0.8877142857,0.22
0.85274,0.48462,0.9141,0.39,0.3462254468,Micro,balanced,7,maximum probability,value tbd,value tbd,SKlearn Probability,0.82714,0.395,0.89916,0.29
0.8414771429,0.4452285714,0.9075428571,0.32,0.3897969252,Macro,down sampled,7,maximum probability,value tbd,value tbd,SKlearn Probability,0.8457228571,0.46,0.9100057143,0.34
0.84146,0.44526,0.90754,0.35,0.3800238635,Micro,down sampled,7,maximum probability,value tbd,value tbd,SKlearn Probability,0.84572,0.45998,0.91,0.37
0.84982,0.3530314286,0.8972342857,0.29,0.4728552511,Macro,shuffled,7,maximum probability,value tbd,value tbd,SKlearn Probability,0.8304742857,0.3106342857,0.88954,0.24
0.8498,0.47436,0.9124,0.38,0.3543529026,Micro,shuffled,7,maximum probability,value tbd,value tbd,SKlearn Probability,0.83048,0.40668,0.9011,0.3
0.885325,0.3559675,0.9186075,0.29,0.4878987551,Macro,balanced,8,None,value tbd,value tbd,SKlearn Prediction,0.864725,0.3086075,0.9125575,0.25
0.88532,0.5413,0.93446,0.47,0.3240315941,Micro,balanced,8,None,value tbd,value tbd,SKlearn Prediction,0.86474,0.45888,0.92268,0.38
0.84792,0.391665,0.9131225,0.29,0.4469401511,Macro,down sampled,8,None,value tbd,value tbd,SKlearn Prediction,0.845625,0.3825,0.911785,0.29
0.84794,0.39168,0.9131,0.3,0.4432168025,Micro,down sampled,8,None,value tbd,value tbd,SKlearn Prediction,0.84562,0.3825,0.91178,0.29
0.8871425,0.353285,0.91947,0.29,0.4909286154,Macro,shuffled,8,None,value tbd,value tbd,SKlearn Prediction,0.86639,0.3212475,0.91377,0.26
0.88712,0.54856,0.9355,0.48,0.3214455039,Micro,shuffled,8,None,value tbd,value tbd,SKlearn Prediction,0.86638,0.46554,0.92364,0.38
0.8487085714,0.4029571429,0.9010257143,0.32,0.4225084787,Macro,balanced,7,None,value tbd,value tbd,SKlearn Prediction,0.8319,0.34142,0.8937028571,0.27
0.84872,0.4705,0.91176,0.38,0.3566650193,Micro,balanced,7,None,value tbd,value tbd,SKlearn Prediction,0.83192,0.41166,0.90194,0.31
0.8367228571,0.4285657143,0.9047657143,0.32,0.4004074996,Macro,down sampled,7,None,value tbd,value tbd,SKlearn Prediction,0.84082,0.4428571429,0.9071485714,0.35
0.8367,0.4286,0.90478,0.33,0.3969946554,Micro,down sampled,7,None,value tbd,value tbd,SKlearn Prediction,0.84084,0.44286,0.90714,0.35
0.85274,0.4331028571,0.9033857143,0.35,0.391057072,Macro,shuffled,7,None,value tbd,value tbd,SKlearn Prediction,0.8318971429,0.34158,0.8933857143,0.27
0.85276,0.4846,0.91408,0.39,0.3462367312,Micro,shuffled,7,None,value tbd,value tbd,SKlearn Prediction,0.8319,0.41166,0.90194,0.31
